sentence_id,story_id,篇名,para_id,sent_id,sentence
01-S0001,1,补天,1,1,女娲忽然醒来了。
01-S0002,1,补天,2,1,伊似乎是从梦中惊醒的，然而已经记不清做了什么梦；
01-S0003,1,补天,2,2,只是很噢恼，觉得有什么不足，又觉得有什么太多了。
01-S0004,1,补天,2,3,煽动的和风，暖的将伊的气力吹得弥漫在宇宙里。
01-S0005,1,补天,3,1,伊揉一揉自已的眼睛。
01-S0006,1,补天,4,1,"粉红的天空中,曲曲折折的漂着许多条石绿色的浮云，星便在那后面忽明忽灭的映眼。"
01-S0007,1,补天,4,2,"天边的血红的云彩里有一个光芒四射的太阳，,如流动的金球包在荒古的熔岩中；"
01-S0008,1,补天,4,3,那一边，却是一个生铁一般的冷而且白的月亮。
01-S0009,1,补天,4,4,然而伊并不理会谁是下去，和谁是上来。
01-S0010,1,补天,5,1,地上都嫩绿了，便是不很换叶的松柏也显得格外的娇嫩。
01-S0011,1,补天,5,2,桃红和青白色的斗大的杂花，在眼前还分明，到远处可就成为斑斓的烟了。
01-S0012,1,补天,6,1,“喉喉，我从来没有这样的无聊过！”
01-S0013,1,补天,6,2,伊想着，猛然间站立起来了，擎上那非常圆满而精力洋溢的臂膊，向天打一个欠伸，天空便突然失了色，化为神异的肉红，暂时再也辨不出伊所在的处所。
01-S0014,1,补天,7,1,伊在这肉红色的天地间走到海边，全身的曲线都消融在淡玫瑰似的光海里，直到身中央才浓成-段纯白。
01-S0015,1,补天,7,2,波涛都惊异，起伏得很有秩序了，然而浪花溅在伊身上。
01-S0016,1,补天,7,3,这纯白的影子在海水里动摇，仿佛全体都正在四面八方的进散。
01-S0017,1,补天,7,4,但伊自已并没有见，只是不由的跪下一足，伸手掬起带水的软泥来，同时又揉捏几回，便有一个和自已差不多的小东西在两手里。
01-S0018,1,补天,8,1,“阿，阿！”
01-S0019,1,补天,8,2,伊固然以为是自已做的，但也疑心这东西就白薯似的原在泥士里，禁不住很异了。
01-S0020,1,补天,9,1,"然而这谣异使伊喜欢，以未曾有的勇往和愉快继续着伊的事业,呼吸吹嘘着,汗混和着"
01-S0021,1,补天,10,1,“Nga!nga!”那些小东西可是叫起来了。
01-S0022,1,补天,11,1,"“阿,阿！”"
01-S0023,1,补天,11,2,伊又吃了惊，觉得全身的毛孔中无不有什么东西飞散，于是地上便罩满了乳白色的烟云，伊才定了神，那些小东西也住了口。
01-S0024,1,补天,12,1,“Akon，Agon!”有些东西向伊说。
01-S0025,1,补天,13,1,“阿阿，可爱的宝贝。”
01-S0026,1,补天,13,2,伊看定他们，伸出带着泥土的手指去拔他肥白的脸。
01-S0027,1,补天,14,1,"“Uvu,Ahaha!”他们笑了。"
01-S0028,1,补天,14,2,这是伊第-回在天地间看见的笑，于是自己也第一回笑得合不上嘴唇来。
01-S0029,1,补天,15,1,伊一面抚弄他们，一一面还是做，被做的都在伊的身边打圈阖，但他们渐渐的走得远，说得多了，伊也渐渐的懂不得，只觉得耳朵边满是噜杂的，得颇有些头昏。
01-S0030,1,补天,16,1,"伊在长久的欢喜中,早已带着疲乏了。"
01-S0031,1,补天,16,2,几乎吹完了呼吸，流完了汗，而况又头昏，两眼便蒙胧起来，两颊也渐渐的发了热，自已觉得无所谓了，而且不耐烦。
01-S0032,1,补天,16,3,然而伊还是照旧的不歇手，不自觉的只是做。
01-S0033,1,补天,17,1,终于，腰腿的酸痛逼得伊站立起来，倚在一座较为光滑的高山上，仰面一看，满天是鱼鳞样的白云，下面则是黑压压的浓绿。
01-S0034,1,补天,17,2,"伊自已也不知道怎样，总觉得左右不如意了，便焦躁的伸出手去，信手拉,拔起一株从山上长到天边的紫藤，一房一房的刚开着大不可言的紫花，伊一挥，那藤便横搭在地面上，遍地散满了半紫半白的花瓣，"
01-S0035,1,补天,18,1,"伊接着一摆手,紫藤便在泥和水里一翻身，同时也溅出拌着水的泥土来，待到落在地上，就成了许多伊先前做过了一般的小东西，只是大半呆头呆脑,獐头鼠目的有些讨厌。"
01-S0036,1,补天,18,2,"然而伊不暇理会这等事了，单是有趣而且烦躁,夹着恶作剧的将手只是抢，愈抢愈飞速了,那藤便拖泥带水的在地上滚，像一条给沸水烫伤了的赤练蛇。"
01-S0037,1,补天,18,3,泥点也就暴雨似的从藤身上飞溅开来，还在空中便成了哇哇地筛哭的小东西，爬来爬去的撒得满地。
01-S0038,1,补天,19,1,伊近于失神了，更其抢，但是不独腰腿痛，连两条臂膊也都乏了力，伊于是不由的下身子去，将头靠着高山，头发漆黑的搭在山顶上，喘息回之后，叹一口气，两眼就合上了。
