以下OCR行置信度<0.70，建议人工抽查（格式：篇名 | PDF页 | y坐标 | 置信度 | 原始识别文本）
共82行，占正文比例较低；多数为破折号、省略号、引号处识别波动
------------------------------------------------------------
补天 | p10 | y=595 | 0.50 | 轰！！!
采薇 | p75 | y=1832 | 0.50 | 写！··..
出关 | p104 | y=975 | 0.52 | “请··.”
奔月 | p29 | y=1449 | 0.54 | 了.
理水 | p49 | y=1842 | 0.54 | ，，
起死 | p142 | y=1682 | 0.54 | 罢。
采薇 | p71 | y=977 | 0.54 | 苦··粗···.·
理水 | p49 | y=1924 | 0.56 | ！”
理水 | p43 | y=432 | 0.56 | 黄鳝·····.
起死 | p143 | y=977 | 0.56 | 膊。）
出关 | p106 | y=521 | 0.56 | 的?···.."
理水 | p37 | y=1674 | 0.56 | 猴子.··..”
起死 | p143 | y=1994 | 0.57 | 开！
补天 | p9 | y=1618 | 0.57 | 地。
起死 | p136 | y=893 | 0.57 | 动。...
出关 | p106 | y=1144 | 0.57 | 别人呢！·...”
起死 | p140 | y=1916 | 0.57 | 呢?··.·..
理水 | p39 | y=1045 | 0.57 | 了。
起死 | p142 | y=666 | 0.58 | 这舅子！…·….
采薇 | p71 | y=741 | 0.58 | “苦·.····粗·····.”
起死 | p144 | y=588 | 0.58 | 去。)
起死 | p139 | y=1916 | 0.58 | 有？
铸剑 | p84 | y=1302 | 0.59 | 罢。”
理水 | p41 | y=740 | 0.59 | 法。
采薇 | p60 | y=1689 | 0.60 | 示···..”
铸剑 | p100 | y=902 | 0.60 | 么？”
理水 | p45 | y=984 | 0.60 | 道：
奔月 | p27 | y=972 | 0.60 | 摇头。
出关 | p104 | y=1601 | 0.61 | 呢？”
理水 | p36 | y=904 | 0.61 | 了涛声了。
出关 | p113 | y=2151 | 0.61 | 谈。
起死 | p142 | y=1995 | 0.62 | 道的？
奔月 | p29 | y=1142 | 0.62 | 去。”
起死 | p144 | y=743 | 0.62 | 巡士千吗？
非攻 | p128 | y=595 | 0.63 | 了.....
采薇 | p67 | y=1449 | 0.63 | 了。”
奔月 | p29 | y=434 | 0.64 | 牌。”
奔月 | p23 | y=346 | 0.64 | 了好几回···。
奔月 | p23 | y=1827 | 0.64 | 备马。
非攻 | p120 | y=1831 | 0.65 | 鱼。
采薇 | p69 | y=514 | 0.65 | 道：
铸剑 | p98 | y=1445 | 0.65 | 监。·
铸剑 | p99 | y=1371 | 0.65 | 三枝簪。
理水 | p48 | y=901 | 0.65 | 的一样。
采薇 | p68 | y=444 | 0.65 | 道：
起死 | p143 | y=1215 | 0.65 | 您瞧，巡士先生…·
补天 | p8 | y=822 | 0.65 | 里。
理水 | p50 | y=1524 | 0.65 | 道。
奔月 | p31 | y=815 | 0.66 | 不住···。”
采薇 | p71 | y=1601 | 0.66 | 去。
铸剑 | p98 | y=664 | 0.66 | 底里去了。
非攻 | p127 | y=1225 | 0.66 | 罢。”
出关 | p112 | y=432 | 0.66 | 去。
补天 | p15 | y=584 | 0.66 | 色。
铸剑 | p90 | y=436 | 0.66 | 了。
铸剑 | p94 | y=657 | 0.66 | 纹。
出关 | p105 | y=523 | 0.66 | 头。
补天 | p10 | y=1772 | 0.67 | 西。
奔月 | p24 | y=1282 | 0.67 | 无声。
采薇 | p62 | y=1674 | 0.67 | 了。
采薇 | p66 | y=2143 | 0.67 | 翠。
铸剑 | p82 | y=1450 | 0.67 | 来。
铸剑 | p101 | y=1051 | 0.67 | 子了。
出关 | p108 | y=1530 | 0.67 | 头。
铸剑 | p92 | y=1837 | 0.67 | 展。
起死 | p137 | y=745 | 0.67 | 排。
起死 | p141 | y=586 | 0.67 | 半白糖，二斤厅南枣··
理水 | p47 | y=1054 | 0.67 | 年。”
铸剑 | p85 | y=1302 | 0.67 | 别了。'
理水 | p36 | y=515 | 0.67 | “古鲁几哩·
起死 | p144 | y=1840 | 0.67 | 放手！
理水 | p42 | y=1049 | 0.68 | “..··….”他不懂意思,没有答。
理水 | p46 | y=1762 | 0.69 | 别的-切,倒还在其次…·”
出关 | p110 | y=1450 | 0.69 | “,完了！”
起死 | p139 | y=1448 | 0.69 | 庄子一一疼吗？
理水 | p42 | y=1829 | 0.70 | 实。”
采薇 | p74 | y=1535 | 0.70 | 上的吗！"[3]]
出关 | p112 | y=1451 | 0.70 | 头痛,讨厌.”
采薇 | p72 | y=430 | 0.70 | 大哥。
起死 | p138 | y=1213 | 0.70 | 的衣服呢？…
起死 | p142 | y=1213 | 0.70 | 巡士—一什么？
非攻 | p123 | y=2151 | 0.70 | 怪····.”门丁轻轻的说。
