关键词,排序,样本量,类别,命中数,占比%,CI下限%,CI上限%
故事新编,totalrank,143,幽默解构类,2,1.4,0.38,4.96
故事新编,totalrank,143,文学品质类,103,72.03,64.17,78.73
故事新编,totalrank,143,知识教育类,50,34.97,27.64,43.08
故事新编,totalrank,143,有声说书类,5,3.5,1.5,7.92
故事新编,pubdate,136,幽默解构类,11,8.09,4.58,13.9
故事新编,pubdate,136,文学品质类,53,38.97,31.18,47.36
故事新编,pubdate,136,知识教育类,25,18.38,12.77,25.73
故事新编,pubdate,136,有声说书类,1,0.74,0.13,4.05
故事新编 鲁迅,totalrank,140,幽默解构类,5,3.57,1.53,8.09
故事新编 鲁迅,totalrank,140,文学品质类,112,80.0,72.61,85.78
故事新编 鲁迅,totalrank,140,知识教育类,29,20.71,14.83,28.17
故事新编 鲁迅,totalrank,140,有声说书类,22,15.71,10.61,22.65
故事新编 鲁迅,pubdate,90,幽默解构类,2,2.22,0.61,7.74
故事新编 鲁迅,pubdate,90,文学品质类,87,96.67,90.65,98.86
故事新编 鲁迅,pubdate,90,知识教育类,3,3.33,1.14,9.35
故事新编 鲁迅,pubdate,90,有声说书类,63,70.0,59.87,78.49
鲁迅,totalrank,132,幽默解构类,5,3.79,1.63,8.56
鲁迅,totalrank,132,文学品质类,88,66.67,58.25,74.14
鲁迅,totalrank,132,知识教育类,64,48.48,40.12,56.93
鲁迅,totalrank,132,有声说书类,5,3.79,1.63,8.56
鲁迅,pubdate,156,幽默解构类,7,4.49,2.19,8.97
鲁迅,pubdate,156,文学品质类,69,44.23,36.67,52.07
鲁迅,pubdate,156,知识教育类,26,16.67,11.63,23.3
鲁迅,pubdate,156,有声说书类,0,0.0,0.0,2.4
