关键词,词频,TF-IDF权重
鲁迅,145,189.495
故事,105,169.558
喜欢,75,141.967
最,64,133.493
铸剑,65,132.353
新编,38,97.117
乌鸦,36,94.306
炸酱面,33,89.198
写,30,83.327
但,29,81.943
小说,28,79.049
先生,25,73.762
作品,25,73.032
得,24,71.951
太,24,71.803
历史,24,71.054
懂,23,69.79
时候,23,69.738
神话,23,69.738
理水,22,66.757
有意思,21,65.475
讽刺,20,63.28
有趣,19,61.01
奔月,18,58.755
多,17,56.303
爱,16,53.922
有些,16,53.922
来,15,51.54
中国,15,51.352
一篇,14,49.008
现在,14,49.008
大,14,48.878
却,14,48.775
改编,14,47.727
解构,14,47.632
这种,13,46.404
荒诞,13,46.404
小时候,13,46.404
好看,13,46.249
起死,13,46.249
