平台,类别,词表变体,分组/S1字段,k或n1,S1占比%,k3,n3,S3占比%,z,p,判读
微信读书,文学专业维度,完整词表(v1.0),73,209,34.93,28,827,3.39,13.74,0.00e+00,显著
微信读书,文学专业维度,删「语言」,70,209,33.49,25,827,3.02,13.64,0.00e+00,显著
微信读书,文学专业维度,删「叙事」,71,209,33.97,27,827,3.26,13.55,0.00e+00,显著
微信读书,文学专业维度,删「风格」,67,209,32.06,28,827,3.39,12.83,0.00e+00,显著
微信读书,文学专业维度,删「语言+叙事+风格」,61,209,29.19,24,827,2.9,12.37,0.00e+00,显著
微信读书,文学专业维度,严格版(仅文学批评术语),34,209,16.27,9,827,1.09,9.83,0.00e+00,显著
微信读书,讽刺批判/当代迁移,完整词表(v1.0),121,209,57.89,109,827,13.18,13.9,0.00e+00,显著
微信读书,讽刺批判/当代迁移,删「现实+现在」,102,209,48.8,76,827,9.19,13.56,0.00e+00,显著
微信读书,讽刺批判/当代迁移,删「现实+现在+社会」,94,209,44.98,68,827,8.22,13.07,0.00e+00,显著
B站,幽默解构类,完整词表,故事新编 鲁迅|totalrank,140,3.57,,,,,,
B站,幽默解构类,完整词表,故事新编 鲁迅|pubdate,90,2.22,,,,,,
B站,幽默解构类,完整词表,故事新编|totalrank,143,1.4,,,,,,
B站,幽默解构类,完整词表,故事新编|pubdate,136,8.09,,,,,,
B站,幽默解构类,完整词表,鲁迅|totalrank,132,3.79,,,,,,
B站,幽默解构类,完整词表,鲁迅|pubdate,156,4.49,,,,,,
B站,幽默解构类,删「梗」,故事新编 鲁迅|totalrank,140,3.57,,,,,,
B站,幽默解构类,删「梗」,故事新编 鲁迅|pubdate,90,2.22,,,,,,
B站,幽默解构类,删「梗」,故事新编|totalrank,143,1.4,,,,,,
B站,幽默解构类,删「梗」,故事新编|pubdate,136,8.09,,,,,,
B站,幽默解构类,删「梗」,鲁迅|totalrank,132,3.79,,,,,,
B站,幽默解构类,删「梗」,鲁迅|pubdate,156,4.49,,,,,,
B站,幽默解构类,删「梗+段子」,故事新编 鲁迅|totalrank,140,3.57,,,,,,
B站,幽默解构类,删「梗+段子」,故事新编 鲁迅|pubdate,90,2.22,,,,,,
B站,幽默解构类,删「梗+段子」,故事新编|totalrank,143,1.4,,,,,,
B站,幽默解构类,删「梗+段子」,故事新编|pubdate,136,8.09,,,,,,
B站,幽默解构类,删「梗+段子」,鲁迅|totalrank,132,3.79,,,,,,
B站,幽默解构类,删「梗+段子」,鲁迅|pubdate,156,4.49,,,,,,
B站,文学品质类,完整词表,故事新编 鲁迅|totalrank,140,80.0,,,,,,
B站,文学品质类,完整词表,故事新编 鲁迅|pubdate,90,96.67,,,,,,
B站,文学品质类,完整词表,故事新编|totalrank,143,72.03,,,,,,
B站,文学品质类,完整词表,故事新编|pubdate,136,38.97,,,,,,
B站,文学品质类,完整词表,鲁迅|totalrank,132,66.67,,,,,,
B站,文学品质类,完整词表,鲁迅|pubdate,156,44.23,,,,,,
B站,文学品质类,删「文化」,故事新编 鲁迅|totalrank,140,80.0,,,,,,
B站,文学品质类,删「文化」,故事新编 鲁迅|pubdate,90,96.67,,,,,,
B站,文学品质类,删「文化」,故事新编|totalrank,143,71.33,,,,,,
B站,文学品质类,删「文化」,故事新编|pubdate,136,38.97,,,,,,
B站,文学品质类,删「文化」,鲁迅|totalrank,132,65.91,,,,,,
B站,文学品质类,删「文化」,鲁迅|pubdate,156,42.95,,,,,,
B站,文学品质类,删「文化+人文」,故事新编 鲁迅|totalrank,140,78.57,,,,,,
B站,文学品质类,删「文化+人文」,故事新编 鲁迅|pubdate,90,96.67,,,,,,
B站,文学品质类,删「文化+人文」,故事新编|totalrank,143,69.93,,,,,,
B站,文学品质类,删「文化+人文」,故事新编|pubdate,136,35.29,,,,,,
B站,文学品质类,删「文化+人文」,鲁迅|totalrank,132,58.33,,,,,,
B站,文学品质类,删「文化+人文」,鲁迅|pubdate,156,40.38,,,,,,
