rank,pianmu,mark_persons,markText
1,非攻,1280,然而比来时更晦气：一进宋国界，就被搜检了两回；走近都城，又遇到募捐救国队[26]，募去了破包袱；到得南关外，又遭着大雨，
2,奔月,1170,“且慢，”羿说着，想了一想，“那倒不忙。我实在饿极了，还是赶快去做一盘辣子鸡，烙五斤饼来，给我吃了好睡觉。明天再去找那道
3,理水,1139,他举手向两旁一指。白须发的，花须发的，小白脸的，胖而流着油汗的，胖而不流油汗的官员们，跟着他的指头看过去，只见一排黑瘦的
4,序言,990,于是当《呐喊》印行第二版时[4]，即将这一篇删除；向这位“魂灵”回敬了当头一棒——我的集子里，只剩着“庸俗”在跋扈了。
5,理水,923,百姓都很老实，他们是过惯了的。禀大人，他们都是以善于吃苦，驰名世界的人们。”
6,奔月,826,，“又是乌鸦的炸酱面，又是乌鸦的炸酱面！你去问问去，谁家是一年到头只吃乌鸦肉的炸酱面的？我真不知道是走了什么运，竟嫁到这
7,补天,770,粉红的天空中，曲曲折折的漂着许多条石绿色的浮云，星便在那后面忽明忽灭的眼。天边的血红的云彩里有一个光芒四射的太阳，如流动
8,理水,756,大家把他围起来，连日连夜的责以大义，说他不顾公益，是利己的个人主义者，将为华夏所不容；激烈点的，还至于捏起拳头，伸在他的
9,补天,708,大约巨鳌们是并没有懂得女娲的话的，那时不过偶而凑巧的点了点头。模模胡胡的背了一程之后，大家便走散去睡觉，仙山也就跟着沉下
10,理水,684,大家就都称赞他，但几个勇士，却又有些妒忌。
11,补天,658,顶长方板的便指着竹片，背诵如流的说道，“裸裎淫佚，失德蔑礼败度，禽兽行。国有常刑，惟禁！”
12,铸剑,612,“唉，孩子，你再不要提这些受了污辱的名称。”他严冷地说，“仗义，同情，那些东西，先前曾经干净过，现在却都成了放鬼债的资本
13,起死,576,巡士——（挣扎着，）不要捣乱了！放手！要不然……要不然……（说着，一面摸出警笛，狂吹起来。）
14,采薇,561,听到这故事的人们，临末都深深的叹一口气，不知怎的，连自己的肩膀也觉得轻松不少了。即使有时还会想起伯夷叔齐来，但恍恍忽忽，
15,铸剑,504,“呵呵！”他一手接剑，一手捏着头发，提起眉间尺的头来，对着那热的死掉的嘴唇，接吻两次，并且冷冷地尖利地笑。
