query,载体形式,时长秒,点赞数,内容形式主类,标题,话题标签,作者,发布时间,编码命中
鲁迅说,视频,6,15000,仿写玩梗类,鲁迅先生说过：钱能解决90%以上的烦恼，情商和智商也会提高……,鲁迅先生;名人语录;读书,创作者_001,2021年3月14日,仿写玩梗类;名句呈现类
鲁迅说,视频,7,12,无关混入,接下来的路怎么走，希望多点顺利,,创作者_002,1天前,无关混入(无鲁迅相关词)
鲁迅说,视频,7,35,共鸣纪念类,还是鲁迅先生活的通透,净说大实话系列,创作者_003,1天前,共鸣纪念类
鲁迅说,视频,8,56,名句呈现类,#@抖音小助手,鲁迅名言;党史学习;中国共产党的历史;抗战历史收集与铭记,创作者_004,2025年1月20日,名句呈现类
鲁迅说,视频,10,1458,共鸣纪念类,鲁迅的文章冷涩精悍，没有废话水分。,,创作者_005,2020年2月13日,共鸣纪念类
鲁迅说,视频,10,2,其他,这世界……,鲁迅,创作者_006,6天前,
鲁迅说,视频,10,62000,名句呈现类,一百年前，鲁迅写给青年的话，在今天，依旧振聋发聩。,五四青年节;鲁迅名言,创作者_007,2020年5月4日,名句呈现类
鲁迅说,视频,11,15000,名句呈现类,人性太可怕,鲁迅先生;名人名言;人性,创作者_008,2024年12月28日,名句呈现类
鲁迅说,视频,11,17,仿写玩梗类,鲁迅说过： 人只要有钱．烦恼就会减少90％以上，情商和智商也会提高，更不会乱发火，但钱从哪里来．鲁迅不,现代人的精神消耗,创作者_009,22小时前,仿写玩梗类
鲁迅说,视频,13,3,其他,,一群人的快乐;这么多人排队;鲁迅先生,创作者_010,1天前,其他(标题缺失)
鲁迅说,视频,14,16,仿写玩梗类,收手 不减肥了 听鲁迅先生的话,,创作者_011,1天前,仿写玩梗类
鲁迅说,视频,14,350000,名句呈现类,“愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。”鲁迅诞辰140周年，大师精神，今人共勉！,,创作者_012,2021年9月25日,名句呈现类(原句特征)
鲁迅说,视频,15,79,名句呈现类,“其实地上本没有路 走的人多了 也便成了路”,鲁迅;历史;狂人日记;救国;封建社会,创作者_013,10小时前,名句呈现类(原句特征)
鲁迅说,视频,17,1769,无关混入,扎心！作家毒舌语录，怼人不带脏字却能让人拍案叫绝！,语录;作家,创作者_014,2020年8月20日,名句呈现类;无关混入(无鲁迅相关词)
鲁迅说,视频,18,3,知识讲解类,这本鲁迅合集 句句点醒当代成年人 真的被这本《的确是我说的：鲁迅名言集锦》狠狠圈粉了！网上到处流传各种鲁迅名言，真假难辨，很多碎句子看着通透，一查全是网友杜撰的。 直到翻开这本书才知道，真正的鲁迅文字，根本不用营销包装，百年之后读，依旧精准击中现代人的所有内耗、迷茫和委屈。真心说一句，这是我读过最实用、最接地气的鲁迅语录合集！ 这跟市面上杂乱拼凑的语录本完全不一样，全书精选了120条鲁迅先生原版原,的确是我说的;鲁迅;鲁迅语录;读书分享;治愈书单,创作者_015,8月29日,知识讲解类;名句呈现类;共鸣纪念类
鲁迅说,视频,18,59000,名句呈现类,世人说他以笔为刃，却不知他笔下的侠义，本是藏锋的剑。,原创视频;剑侠;鲁迅先生,创作者_016,2025年11月19日,名句呈现类(原句特征)
鲁迅说,视频,21,666,名句呈现类,横眉冷对千夫指，俯首甘为孺子牛。,鲁迅;自嘲;语文;古诗词,创作者_017,2023年7月25日,名句呈现类(原句特征)
鲁迅说,视频,26,16000,仿写玩梗类,鲁迅体深情表白，情话的天花板，你学会了吗？,用鲁迅的口吻;表白;土味情话,创作者_018,2022年2月17日,仿写玩梗类
鲁迅说,视频,26,3,无关混入,别人开导，只是把脉； 自己醒悟，药到病除。” “你可以不记仇，但一定要记事； 我的意思是，人得长记性…” “时间是一把尺，量人量心量距离 人心是一杆秤，称轻称重称感情…” “我从不虚假对待身边任何人： 可惜这个世界有太多人不真诚!”,摩天轮治愈系,创作者_019,20小时前,名句呈现类(原句特征);无关混入(无鲁迅相关词)
鲁迅说,视频,26,612000,共鸣纪念类,“快一百年，还是有那么多人惧怕他的文字”,鲁迅;混剪;抖音觉醒,创作者_020,8月18日,共鸣纪念类
鲁迅说,视频,30,891,名句呈现类,不必等候炬火，此后如竟没有炬火，我便是唯一的光,鲁迅先生;萤火计划,创作者_021,2024年2月19日,名句呈现类(原句特征)
鲁迅说,视频,31,479,名句呈现类,愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。,鲁迅;鲁迅先生;先生;万万没想到,创作者_022,5月23日,名句呈现类(原句特征)
鲁迅说,视频,32,14,共鸣纪念类,拿钱买你的命，还嫌你的命不够硬,职场;打工人;鲁迅;人间清醒,创作者_023,1天前,共鸣纪念类
鲁迅说,视频,33,10,名句呈现类,好鲜活的鲁迅 愿中国青年都能摆脱冷气， 只是向上走 不必听自暴自弃者流的话。 能做事的做事，能发声的发声。 有一分热，发一分光。 就令萤火一般，也可以在黑暗里发一点光，不必等候炬火。 此后如竟没有炬火，我便是唯一的光。,呐喊1911;沉浸式观演体验;剧场演员,创作者_024,13小时前,名句呈现类(原句特征)
鲁迅说,视频,34,41000,知识讲解类,那些来自鲁迅的顶级讽刺，清醒而炸裂,鲁迅名言;讽刺文案;诗词名句赏析;句子很短却字字入心,创作者_025,2025年1月3日,知识讲解类;名句呈现类;共鸣纪念类
鲁迅说,视频,34,560,名句呈现类,“此后如竟没有炬火，我便是唯一的光。”,热风;鲁迅先生;青年大学习;台词;口播视频,创作者_026,15小时前,名句呈现类(原句特征)
鲁迅说,视频,34,8,仿写玩梗类,鲁迅说：只要经常花钱，烦恼就会减少80%，但是钱从哪来鲁迅没说！,文案文案;宅家自嗨;抖音热门小助手,创作者_027,19小时前,仿写玩梗类
鲁迅说,视频,34,82000,名句呈现类,“以笔尖之利唤醒国人之心”，今天，一起怀念鲁迅先生！,,创作者_028,2025年10月19日,名句呈现类(原句特征)
鲁迅说,视频,35,108,无关混入,如果你是神经病，那么这世界都会让着你。毛姆 6 句犀利语录，道破人性、情绪与人情冷暖，时刻自省，保持清醒。,毛姆;人间清醒;人性感悟;情绪管理;识人技巧,创作者_029,16小时前,名句呈现类;共鸣纪念类;无关混入(无鲁迅相关词)
鲁迅说,视频,35,388000,名句呈现类,愿中国青年摆脱冷气，只是向上走,热风;鲁迅先生;青年大学习;朗诵;配音,创作者_030,8月16日,名句呈现类(原句特征)
鲁迅说,视频,35,4554,知识讲解类,一针见血还得是鲁迅先生！小时候读不懂，现在读，每一句都震撼心灵,每天学习一点点;每天一听;鲁迅名言;每日一读;让阅读成为一种习惯,创作者_031,2024年5月16日,知识讲解类;名句呈现类;共鸣纪念类
鲁迅说,视频,36,34,仿写玩梗类,美丽的阿西里西韭菜坪，想起一句话，鲁迅先生说了：倒也不是好色，只是花开得正艳，我若不欣赏两眼，倒显得我不解风情[呲牙],,创作者_032,12小时前,仿写玩梗类;名句呈现类
鲁迅说,视频,36,5332,其他,谁不想和鲁迅急头白脸的畅聊一个晚自习啊,鲁迅先生;孔融;文学;历史,创作者_033,6月1日,
鲁迅说,视频,38,443,仿写玩梗类,鲁迅先生的话,阿和;关注我每天分享不同的故事;内容过于真实;抖音热门,创作者_034,2023年3月24日,仿写玩梗类
鲁迅说,视频,38,5,仿写玩梗类,鲁迅说：倒也不是好色，只是花开得正艳，我若不欣赏两眼，倒显得我不解风情～,,创作者_035,14小时前,仿写玩梗类
鲁迅说,视频,40,352,名句呈现类,"""生命的路是进步的，总是沿着无限的精神三角形的斜面向上走，什么都阻止他不得""",鲁迅先生;鲁迅纪念馆;鲁迅名言;绍兴,创作者_036,2025年6月4日,名句呈现类;共鸣纪念类
鲁迅说,视频,40,871000,名句呈现类,“此后如竟没有炬火，我便是唯一的光。”,热风;鲁迅先生;未来导演扶持计划;青年大学习;台词,创作者_037,8月20日,名句呈现类(原句特征)
鲁迅说,视频,41,0,名句呈现类,鲁迅语录,鲁迅名言;生活感悟分享;人间清醒语录;名言警句,创作者_038,2小时前,名句呈现类;共鸣纪念类
鲁迅说,视频,41,3770,名句呈现类,愿中国青年都摆脱冷气，只是向上走,鲁迅先生;鲁迅精神;热风,创作者_039,4月25日,名句呈现类(原句特征)
鲁迅说,视频,41,546000,名句呈现类,这铁屋绝没有不会被冲破的可能!,鲁迅,创作者_040,2024年2月2日,名句呈现类(原句特征)
鲁迅说,视频,41,9,名句呈现类,鲁迅语录,鲁迅名言;情感语录;爱读书也要明事理;读书涨智慧,创作者_038,2天前,名句呈现类
鲁迅说,视频,43,4,知识讲解类,我没钱了的另一种表达方式，你觉得如何,鲁迅体;有文化但不多;表达技巧;幽默,创作者_041,14小时前,知识讲解类;仿写玩梗类
鲁迅说,视频,44,6,仿写玩梗类,鲁迅笔下的没钱，简直说到心坎里,鲁迅文学;成年人的心酸;搞笑口播;当代年轻人现状,创作者_042,14小时前,仿写玩梗类
鲁迅说,视频,47,1671,仿写玩梗类,我没钱了，用鲁迅先生的话表达 @抖音小助手,不信你不笑;鲁迅;喝西北风;配音,创作者_043,2024年2月20日,仿写玩梗类
鲁迅说,视频,47,61,仿写玩梗类,鲁迅：一觉醒来什么话都是我说的了？回答我！,鲁迅;鲁迅先生;名言;回答我;历史人物,创作者_044,2025年4月30日,仿写玩梗类;名句呈现类;共鸣纪念类
鲁迅说,视频,49,2115,名句呈现类,害，面子是什么东东，给个面子看完吧~,面子;鲁迅名言,创作者_045,2020年10月8日,名句呈现类
鲁迅说,视频,49,2903,仿写玩梗类,用鲁迅的口吻说 我累了,群主家的蚝店;烧烤;老板娘日常;正能量;搞笑,创作者_046,2025年12月7日,仿写玩梗类
鲁迅说,视频,52,545000,名句呈现类,鲁迅 × 张爱玲丨中国讽刺文学天花板，文学大师的嘴，有多毒？ 话不多，却字字见血。要论讽刺文学，他们才是祖师爷。“讽刺不是刻薄，是看清之后的克制。”,名人名言;情感共鸣;文学;读书;人间清醒,创作者_047,1月14日,名句呈现类;共鸣纪念类
鲁迅说,视频,53,378000,仿写玩梗类,我感冒了，用鲁迅的话怎么说,搞笑;李小汐;李小汐一家;幽默段子,创作者_048,2025年12月5日,仿写玩梗类
鲁迅说,视频,55,4,其他,开团秒为护利，无故相助为大义，这个时代不该人人冷漠，明哲保身,热风;鲁迅先生;青年大学习;新中国,创作者_049,14小时前,
鲁迅说,视频,56,153000,仿写玩梗类,我冻死了，用鲁迅的话这么说,搞笑;李小汐;李小汐一家;幽默段子;致敬鲁迅先生,创作者_048,2025年12月22日,仿写玩梗类
鲁迅说,视频,56,3918,仿写玩梗类,我大抵是倦了 横竖都想喝一口,群主家的蚝店;老板娘日常;搞笑;正能量;浙里最有劲,创作者_046,2025年11月27日,仿写玩梗类
鲁迅说,视频,59,4,仿写玩梗类,鲁迅先生说过:我们从古以来，就有埋头苦干的人，有拼命硬干的人，有为民请命的人，有舍身求法的人……这就是国家的脊梁。”,小城夜游正当时,创作者_050,15小时前,仿写玩梗类;共鸣纪念类
鲁迅说,视频,60,30000,仿写玩梗类,我饿了，用鲁迅的话怎么说,搞笑;李小汐;李小汐一家;幽默段子;致敬鲁迅先生,创作者_048,2025年12月21日,仿写玩梗类
鲁迅说,视频,61,5457,仿写玩梗类,用鲁迅的口吻说没钱过年 这大抵是没钱过年了，去年没有，今年也没有,群主家的蚝店;老板娘日常;搞笑;正能量;过年,创作者_046,2月3日,仿写玩梗类
鲁迅说,视频,61,564000,仿写玩梗类,我有一个很懂鲁迅的朋友,内容过于真实;一人分饰多角;剧情;情感共鸣;鲁迅先生,创作者_051,2024年2月7日,仿写玩梗类
鲁迅说,视频,61,598,名句呈现类,鲁迅的十大名言，任何一句都让人无言以对,文案馆;名人名言正能量;传递正能量;人生感悟;文案短句;人生百味自己体会,创作者_052,2022年4月25日,名句呈现类
鲁迅说,视频,62,41,名句呈现类,,名人名言;鲁迅名言,创作者_053,2024年9月21日,名句呈现类
鲁迅说,视频,62,64,知识讲解类,北大教授：为何总有人选择做奴才？鲁迅说得很透彻,北大;北大教授;鲁迅先生;奴才,创作者_054,5月23日,知识讲解类
鲁迅说,视频,64,10,名句呈现类,,名人名言;鲁迅“曾经阔气的要复古，正在阔气的的要保持现状，未曾阔气的要革新，”,创作者_055,2025年3月7日,名句呈现类
鲁迅说,视频,80,1840,仿写玩梗类,让鲁迅先生来优雅地告诉你，什么才是深入骨髓的穷,原创视频;我没钱了;鲁迅笔风;模仿鲁迅口吻说我没钱了,创作者_056,2023年1月19日,仿写玩梗类
鲁迅说,视频,86,41,知识讲解类,现在年轻人为什么不肯结婚了,文学;鲁迅先生;结婚;婚姻;年轻人不愿意结婚,创作者_057,10小时前,知识讲解类
鲁迅说,视频,93,245,共鸣纪念类,“他永远是精神界的战士”,历史;电影;鲁迅先生;文学;文化;社会;学习;劳动者;社会主义,创作者_058,2023年4月20日,共鸣纪念类
鲁迅说,视频,95,501000,共鸣纪念类,后来，我们都在某个时刻里，突然读懂过鲁迅@1379号观察员,鲁迅先生;教育;AI;AI让经典好书复兴;抖音读书日,创作者_059,4月23日,共鸣纪念类
鲁迅说,视频,97,558000,其他,狂人日记,配音;狂人日记;鲁迅;声控;文学,创作者_060,2025年10月20日,
鲁迅说,视频,98,127,名句呈现类,鲁迅这8句话估计再过100年也不过时   @抖音正能量,鲁迅先生;至理名言,创作者_061,2023年10月4日,名句呈现类
鲁迅说,视频,99,9,名句呈现类,鲁迅先生说：世间本没有路，骑多了就有了路。,,创作者_062,2天前,名句呈现类(原句特征)
