关键词,词频,TF-IDF权重
鲁迅,67,77.718
故事,57,75.477
铸剑,36,61.677
喜欢,31,57.646
最,27,54.645
新编,19,44.001
炸酱面,15,38.257
神话,15,38.059
理水,15,37.492
乌鸦,14,36.59
太,14,36.414
历史,14,35.988
先生,13,34.57
写,11,31.115
却,11,31.015
懂,11,31.015
作品,11,30.948
解构,11,30.365
但,10,29.038
有些,10,29.038
有意思,10,29.038
传统,10,29.038
于,10,29.038
时候,10,29.038
小说,10,28.3
中国,9,26.962
戏谑,9,26.962
荒诞,9,26.962
现实,9,26.962
吃,9,26.958
地,9,26.068
奔月,8,24.809
讽刺,8,24.809
新,8,24.809
起来,8,24.809
确实,8,24.763
用,8,24.763
得,8,24.762
为,8,24.762
改编,7,22.532
