有用数,星级,时间,用户,短评
884,5,2012-05-11 15:03:14,大鲤鱼（丹AI）,《铸剑》神文，语言难以形容其特别。
515,5,2013-11-10 00:21:59,鹅掌柴,《故事新编》是鲁迅的破冰之作，是鲁迅的文章中，我读过的，修辞最丰富，色彩最饱满的（如果说其他作品都因悲痛和不忍变成了低饱和度的影像，那这本书就是色彩明快的油彩）。虽然神话传说中的神明、英雄、先圣都在「故事」中被着重突出了悲剧色彩，但依然掩盖不住这本书的鲜艳。《补天》、《奔月》中神和超人的英雄都消亡了；《理水》中「中国的脊梁」困顿不堪，失去「脊梁」的意义，或者被异化；《铸剑》中复仇者的坚定信念与自我
335,5,2020-03-29 15:06:02,momo,冷知识：嫦娥因为后羿老给她吃乌鸦炸酱面而奔月。
264,5,2008-11-01 09:14:49,陰陽魚,我曾說　故事新編是二十世紀白話小說的最高峯　魯迅認爲　故事新編是那些在他寫吶喊與彷徨之餘　所書寫的一些可能不能稱爲作品的東西　然而只有故事新編最能在新白話文中　找到漢語文學最震攝人心的音律感　節奏感　畫面感　它將中國最最重要的那些文化源流　歷史時刻　精心地裝裱起來　無論是兩段呆木頭　還是混混沸水中的人頭　宛如種種揮之不去的幻境　時時浮現出來
117,5,2013-11-04 11:46:51,神威,修行125th，北大周末文化市场这封皮的鲁迅全集26本150块入手，贵贱不拘，品相和内容真是赞。也不怪初高中语文课本将迅哥儿言论大卸八块尽情引申，他的弦外之音总是那么强，我很爱这种讽刺，无论是神来之笔的女娲胯下衣冠小人还是直截了当不做掩饰的鸟头顾颉刚，这本书我读的极慢极慢，非常快乐，最爱理水，补天，不喜略浅薄的出关，非攻
97,5,2018-07-26 21:51:32,Valkyrie,这也太先锋了，这个男人是魔鬼吗
61,5,2012-05-27 18:03:47,Chilx,常闻东有鲁迅如重山峻岭，西有博尔赫斯如迷宫深渊
60,4,2015-05-01 20:51:42,小晨,一知半解，大家都读明白了？
52,5,2018-10-21 22:39:23,文若,谁也忍受不了天天吃乌鸦炸酱面啊
36,4,2015-07-02 08:22:43,李子鲤|Lilith,他爱的是生命中难以名状的原始冲动和沉默寡言的执行效率，因此他偏爱女娲，眉间尺和、黑衣人（哪怕眉间尺有些懦弱呢）和墨子。老子到底骑着青牛出了函谷关，后羿每日也为着生计来回奔波。而庄子的生死之间物我两忘的瑰丽想象到底救不了国民。不食周粟的伯夷叔齐保守腐旧最不可要。先生也在时刻提醒自己不要陷入油滑（所以那些抖机灵的段子手还是算了吧~）
32,4,2018-05-25 19:45:17,末摘花,才华横溢的鲁迅先生我最爱的当代作家
32,5,2010-11-19 11:49:44,walkerace,短短百页的短篇小说集，先锋到今人尚且不及的地步，佩服。
30,3,2016-06-19 14:50:36,Soo Yung,确实不是小说，更像友邻所说的，是一则怪味汤。鲁迅的脑洞确实也大，把经典的传说、童话改编为符合当下语境的讽刺、小说，真有意思极了。为清华通识教育讲习班要求阅读 Chris
27,5,2013-04-05 20:24:12,de陆钓雪,烏鴉雜醬面
25,5,2014-03-04 16:42:18,綠  鴨,迅哥儿飞大了
24,5,2018-05-08 15:41:02,南方的北瓜,课本对于鲁迅作品的节选以及传统课堂上的解读确实固化了鲁迅在我们心中的形象。《故事新编》中的鲁迅，是极丰满的“人”的形象，而不是那个怼天怼地的斗士。诸如“烙三百五十二张大饼的工夫”和“煮熟三锅小米的工夫”这样的独特诙谐的句子，是我们在课文中很难了解到的。
22,,2011-04-25 12:12:17,ripple,王妃抱着铁柱摩擦 就生了一块玄铁................
22,5,2021-03-18 00:50:58,天台老阮郎,明明每个故事都在解构英雄，消解崇高，可以说都是悲剧，但就是让人看着那么欢乐。 《铸剑》里黑衣人的外貌形象和名字就是鲁迅自己。《理水》吐槽顾颉刚。《奔月》最后后羿和婢女的对话又是鲁迅上身。鲁迅真的是非常幽默。
20,5,2012-02-20 21:05:30,边城不浪,学力、才华与趣味的结合
20,4,2019-11-21 15:56:20,有风倚楼,儒者嘴上称仁义，做事却要学猪狗。印象最深。
19,5,2019-05-26 10:48:18,momo,尤其喜欢《铸剑》那一篇，诡谲而冷峭，字里行间是漫溢的决绝。一直记得以前家里书不多，但有一本鲁迅选集，里面有很多是这本《故事新编》里的内容。 我想，此书之于我，大概某种程度上可以说近乎《山海经》之于鲁迅。
14,4,2020-11-03 20:45:48,开膛手贝塔,年少时候最爱《铸剑》，因为情节最离奇，最有故事性，剑客之间的信任，生死相托的决绝，都是经典武侠长盛不衰的题材。当年的同名电影眉间尺割掉自己的头颅毅然站着的画面也成为童年阴影之一。如今再看，渐渐了解到《出关》、《非攻》中那种世人不值，我自做我的那份洒脱，以及非洒脱无以理世的无奈，《理水》中的禹如此，《采薇》的伯夷叔齐亦然。鲁迅写吃人二字，写了几十年。故事新编吃的人是圣贤。
8,3,2016-12-19 03:02:30,高歌,是个不错的文体家
8,5,2009-05-19 22:03:27,泉の向日葵,我是那麼深愛《奔月》
8,5,2009-12-17 00:27:53,denovo,这是俺最喜欢的书之一呀。
8,4,2014-05-22 17:28:22,midi,其中两三篇，非常非常非常的惊艳。因为理水一篇还是觉得不能打五分。
7,5,2023-02-12 15:23:10,Pluto&amp;Piaget,The single best book in China since 1912. 最绝的几段已炼到一字不能改的地步，如果没写出这样的故事，这样顶级残忍的幽默，我们民族几千年受的全部折磨就等于说是从来没有哪怕一丝被补偿过。
