组,模型,字数,最佳匹配原作,P_原作,R_原作,F1_原作,P_样章,R_样章,F1_样章,F1_补天,F1_奔月,F1_理水,F1_采薇,F1_铸剑,F1_出关,F1_非攻,F1_起死
弱约束,通义千问,1946,铸剑,0.7675,0.7243,0.7453,0.7487,0.7668,0.7576,0.7401,0.7356,0.7423,0.745,0.7453,0.7345,0.7373,0.7138
弱约束,文心一言,1815,采薇,0.7822,0.7235,0.7517,0.7497,0.752,0.7508,0.7424,0.7451,0.7449,0.7517,0.7493,0.7393,0.7433,0.7272
弱约束,DeepSeek,2904,铸剑,0.7903,0.7463,0.7677,0.7557,0.7661,0.7609,0.7614,0.7528,0.7459,0.7508,0.7677,0.7442,0.7453,0.732
弱约束,Kimi,2410,铸剑,0.7677,0.7359,0.7515,0.7466,0.7695,0.7578,0.7388,0.7429,0.7512,0.7505,0.7515,0.7461,0.7499,0.7277
弱约束,智谱清言,3115,铸剑,0.7885,0.7487,0.7681,0.7716,0.785,0.7782,0.758,0.7603,0.7635,0.7678,0.7681,0.761,0.7599,0.7412
弱约束,豆包,2462,铸剑,0.7398,0.7135,0.7264,0.7271,0.7516,0.7392,0.7185,0.7108,0.7237,0.7218,0.7264,0.7104,0.7117,0.6961
弱约束,腾讯元宝,3061,采薇,0.7857,0.7452,0.7649,0.7692,0.7956,0.7822,0.7496,0.7521,0.762,0.7649,0.7602,0.756,0.757,0.7425
弱约束,讯飞星火,2749,铸剑,0.7755,0.7437,0.7593,0.7519,0.7659,0.7588,0.7505,0.7472,0.7474,0.7534,0.7593,0.7395,0.7444,0.7265
弱约束,MiniMax,2865,理水,0.7731,0.7284,0.7501,0.7831,0.7791,0.7811,0.7276,0.7374,0.7501,0.7492,0.7424,0.7432,0.7468,0.7375
弱约束,阶跃星辰,2602,理水,0.7738,0.7351,0.754,0.7421,0.761,0.7515,0.7301,0.7412,0.754,0.7526,0.7417,0.7451,0.7467,0.7405
中约束,通义千问,2331,理水,0.7656,0.7291,0.7469,0.7438,0.7753,0.7592,0.7273,0.7296,0.7469,0.7454,0.741,0.7362,0.7365,0.7222
中约束,文心一言,2175,理水,0.7815,0.7253,0.7523,0.7369,0.7499,0.7433,0.7322,0.7377,0.7523,0.7499,0.7425,0.7385,0.7393,0.7202
中约束,DeepSeek,1920,铸剑,0.7568,0.7232,0.7396,0.7381,0.7497,0.7439,0.727,0.7279,0.7394,0.7388,0.7396,0.7253,0.7304,0.7107
中约束,Kimi,2021,理水,0.7099,0.658,0.683,0.6863,0.684,0.6851,0.6665,0.6644,0.683,0.6778,0.6785,0.6714,0.6762,0.6647
中约束,智谱清言,2219,理水,0.7777,0.7405,0.7586,0.7333,0.7576,0.7452,0.7388,0.7435,0.7586,0.7547,0.7492,0.7454,0.7467,0.7308
中约束,豆包,2980,铸剑,0.7427,0.7209,0.7316,0.7112,0.7457,0.728,0.7205,0.7108,0.7275,0.7239,0.7316,0.7134,0.7133,0.6982
中约束,腾讯元宝,2417,采薇,0.7764,0.736,0.7556,0.7512,0.7784,0.7646,0.7429,0.7454,0.7555,0.7556,0.7551,0.7492,0.7492,0.7322
中约束,讯飞星火,2694,铸剑,0.7829,0.7431,0.7625,0.7576,0.7643,0.7609,0.754,0.7508,0.7524,0.7591,0.7625,0.7444,0.7493,0.7258
中约束,MiniMax,3168,理水,0.7594,0.7272,0.7429,0.7449,0.7708,0.7576,0.7242,0.7216,0.7429,0.7397,0.7374,0.7255,0.727,0.7146
中约束,阶跃星辰,2229,理水,0.71,0.6767,0.693,0.6877,0.708,0.6977,0.6721,0.6701,0.693,0.6864,0.6826,0.6747,0.6805,0.6689
强约束,通义千问,2765,采薇,0.7982,0.7308,0.763,0.7783,0.7709,0.7746,0.7464,0.7507,0.7572,0.763,0.7572,0.7527,0.7547,0.7363
强约束,文心一言,2633,采薇,0.7791,0.7349,0.7563,0.7387,0.7582,0.7483,0.7369,0.7459,0.7536,0.7563,0.7484,0.7483,0.747,0.7266
强约束,DeepSeek,2482,采薇,0.802,0.741,0.7703,0.7748,0.7735,0.7742,0.7525,0.7614,0.7657,0.7703,0.7627,0.7638,0.7643,0.745
强约束,Kimi,2147,采薇,0.7733,0.7284,0.7502,0.7617,0.7758,0.7687,0.73,0.7352,0.7471,0.7502,0.7392,0.7406,0.7397,0.7283
强约束,智谱清言,2642,采薇,0.7749,0.7285,0.751,0.7779,0.786,0.7819,0.7333,0.739,0.7483,0.751,0.7433,0.7471,0.7424,0.7327
强约束,豆包,2824,铸剑,0.7294,0.7051,0.717,0.7186,0.7434,0.7308,0.708,0.7003,0.7161,0.7167,0.717,0.7025,0.7023,0.6871
强约束,腾讯元宝,2441,理水,0.7892,0.7383,0.7629,0.7586,0.7737,0.7661,0.745,0.7513,0.7629,0.7614,0.7552,0.7574,0.7576,0.736
强约束,讯飞星火,2591,采薇,0.7727,0.7304,0.751,0.7508,0.7677,0.7592,0.7379,0.7374,0.7469,0.751,0.7455,0.7374,0.7396,0.7195
强约束,MiniMax,2938,理水,0.7542,0.7298,0.7418,0.7562,0.7851,0.7704,0.7276,0.73,0.7418,0.7409,0.7396,0.7339,0.7339,0.7236
参照组,通义千问,3077,铸剑,0.7833,0.7428,0.7626,0.7926,0.804,0.7983,0.7485,0.754,0.756,0.7587,0.7626,0.7518,0.7523,0.7412
参照组,文心一言,2211,铸剑,0.7604,0.7318,0.7458,0.7634,0.7843,0.7737,0.7366,0.7349,0.7379,0.7426,0.7458,0.7294,0.7329,0.7132
参照组,DeepSeek,4155,铸剑,0.7823,0.7565,0.7691,0.7912,0.8207,0.8056,0.7569,0.757,0.7542,0.7613,0.7691,0.7525,0.7541,0.7422
参照组,Kimi,1817,理水,0.763,0.7133,0.7373,0.7916,0.7972,0.7944,0.7217,0.7275,0.7373,0.7364,0.7356,0.7321,0.7317,0.7231
